<http://codes.wmo.int/def/common/code_figure>,<http://codes.wmo.int/def/common/wmoAbbreviation>,<http://codes.wmo.int/def/common/wmoAbbreviationIA2>,<http://codes.wmo.int/def/common/wmoAbbreviationIA5>,@id,dct:definition,rdf:type,rdfs:label,skos:altLabel,skos:notation,skos:prefLabel
'760',m s^-2,m s-2,"",<http://codes.wmo.int/common/unit/m_s-2>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,metres per second squared,m s^-2,m s-2,metres per second squared
'130',min,min,MIN,<http://codes.wmo.int/common/unit/min>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,minute (time),min,min,minute (time)
'710',mm,mm,MM,<http://codes.wmo.int/common/unit/mm>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,millimetre,mm,mm,millimetre
'713',mm^6 m^-3,mm6 m-3,"",<http://codes.wmo.int/common/unit/mm6_m-3>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,millimetres per the sixth power per cubic metre,mm^6 m^-3,mm6 m-3,millimetres per the sixth power per cubic metre
'712',mm h^-1,mm/h,MM/HR,<http://codes.wmo.int/common/unit/mm_h-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,millimetres per hour,mm h^-1,mm/h,millimetres per hour
'711',mm s^-1,mm/s,MM/S,<http://codes.wmo.int/common/unit/mm_s-1>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,millimetres per seconds,mm s^-1,mm/s,millimetres per seconds
'006',mol,mol,MOL,<http://codes.wmo.int/common/unit/mol>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,mole,mol,mol,mole
'788', mol mol^-1,mol/mol,"",<http://codes.wmo.int/common/unit/mol_mol-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,moles per mole, mol mol^-1,mol/mol,moles per mole
'430',mon,mon,MON,<http://codes.wmo.int/common/unit/mon>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,month,mon,mon,month
no,n,n,N,<http://codes.wmo.int/common/unit/n_pref>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,nano,n,n,nano
'200', ,"","",<http://codes.wmo.int/common/unit/nautical_mile>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,nautical mile, , ,nautical mile
'535',nbar,nbar,NBAR,<http://codes.wmo.int/common/unit/nbar>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,nanobar = hPa 10^-6,nbar,nbar,nanobar = hPa 10^-6
'310',okta,okta,OKTA,<http://codes.wmo.int/common/unit/okta>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,eighths of cloud,okta,okta,eighths of cloud
'841',pH unit,pH unit,"",<http://codes.wmo.int/common/unit/pH_unit>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,pH unit,pH unit,pH unit,pH unit
no,p,p,P,<http://codes.wmo.int/common/unit/p_pref>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,pico,p,p,pico
'171',pc,pc,PRS,<http://codes.wmo.int/common/unit/pc>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,parsec,pc,pc,parsec
'300',%,%,PERCENT,<http://codes.wmo.int/common/unit/percent>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,per cent,%,%,per cent
'021',rad,rad,RAD,<http://codes.wmo.int/common/unit/rad>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,radian,rad,rad,radian
'790',rad m^-1,rad/m,"",<http://codes.wmo.int/common/unit/rad_m-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,radians per metre,rad m^-1,rad/m,radians per metre
'003',s,s,S,<http://codes.wmo.int/common/unit/s>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,second,s,s,second
'441',s^-1,/s,/S,<http://codes.wmo.int/common/unit/s-1>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,per second (same as hertz),s^-1,/s,per second (same as hertz)
'442',s^-2,s-2,"",<http://codes.wmo.int/common/unit/s-2>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,per second squared,s^-2,s-2,per second squared
'779',s m^-1,s/m,"",<http://codes.wmo.int/common/unit/s_m-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,seconds per metre,s m^-1,s/m,seconds per metre
'022',sr,sr,SR,<http://codes.wmo.int/common/unit/sr>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,steradian,sr,sr,steradian
'150',t,t,TNE,<http://codes.wmo.int/common/unit/t>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,tonne,t,t,tonne
'161',u,u,U,<http://codes.wmo.int/common/unit/u>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,atomic mass unit,u,u,atomic mass unit
no,µ,u,U,<http://codes.wmo.int/common/unit/u_pref>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,micro,µ,u,micro
'230', ,"","",<http://codes.wmo.int/common/unit/week>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,week, , ,week
